# US Census Bureau, National County and Equivalent Entities file, 2020 vintage:
# https://www2.census.gov/geo/docs/reference/codes2020/national_county2020.txt (fetched 2026-09-08).
# Filtered to the three in-scope states. Columns as published; county_geoid = STATEFP || COUNTYFP.
state,state_fips,county_fips,county_geoid,county_name,class_fp
TX,48,395,48395,"Robertson County",H1
TX,48,397,48397,"Rockwall County",H1
TX,48,399,48399,"Runnels County",H1
TX,48,401,48401,"Rusk County",H1
TX,48,403,48403,"Sabine County",H1
TX,48,405,48405,"San Augustine County",H1
TX,48,407,48407,"San Jacinto County",H1
TX,48,409,48409,"San Patricio County",H1
TX,48,411,48411,"San Saba County",H1
TX,48,413,48413,"Schleicher County",H1
TX,48,415,48415,"Scurry County",H1
TX,48,417,48417,"Shackelford County",H1
TX,48,419,48419,"Shelby County",H1
TX,48,421,48421,"Sherman County",H1
TX,48,423,48423,"Smith County",H1
TX,48,425,48425,"Somervell County",H1
TX,48,427,48427,"Starr County",H1
TX,48,429,48429,"Stephens County",H1
TX,48,431,48431,"Sterling County",H1
TX,48,433,48433,"Stonewall County",H1
TX,48,435,48435,"Sutton County",H1
TX,48,437,48437,"Swisher County",H1
TX,48,439,48439,"Tarrant County",H1
TX,48,441,48441,"Taylor County",H1
TX,48,443,48443,"Terrell County",H1
TX,48,445,48445,"Terry County",H1
TX,48,447,48447,"Throckmorton County",H1
TX,48,449,48449,"Titus County",H1
TX,48,451,48451,"Tom Green County",H1
TX,48,453,48453,"Travis County",H1
TX,48,455,48455,"Trinity County",H1
TX,48,457,48457,"Tyler County",H1
TX,48,459,48459,"Upshur County",H1
TX,48,461,48461,"Upton County",H1
TX,48,463,48463,"Uvalde County",H1
TX,48,465,48465,"Val Verde County",H1
TX,48,467,48467,"Van Zandt County",H1
TX,48,469,48469,"Victoria County",H1
TX,48,471,48471,"Walker County",H1
TX,48,473,48473,"Waller County",H1
TX,48,475,48475,"Ward County",H1
TX,48,477,48477,"Washington County",H1
TX,48,479,48479,"Webb County",H1
TX,48,481,48481,"Wharton County",H1
TX,48,483,48483,"Wheeler County",H1
TX,48,485,48485,"Wichita County",H1
TX,48,487,48487,"Wilbarger County",H1
TX,48,489,48489,"Willacy County",H1
TX,48,491,48491,"Williamson County",H1
TX,48,493,48493,"Wilson County",H1
TX,48,495,48495,"Winkler County",H1
TX,48,497,48497,"Wise County",H1
TX,48,499,48499,"Wood County",H1
TX,48,501,48501,"Yoakum County",H1
TX,48,503,48503,"Young County",H1
TX,48,505,48505,"Zapata County",H1
TX,48,507,48507,"Zavala County",H1
